system:index,area,value,.geo
85,0.0,85.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.0,86.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.0,87.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.0,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.0,89.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,20.92513958952064,90.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.0,91.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.0,93.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.0,94.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.0,95.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.0,96.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.0,97.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.0,98.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.0,99.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.0,100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.0,101.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.0,102.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.0,103.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.0,104.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.0,105.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.0,106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.0,107.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.0,108.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.0,109.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.0,110.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,302.86049453004466,111.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.0,112.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.0,113.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.0,114.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,0.0,115.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,95.52814215113537,116.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0.0,117.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.0,118.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.0,119.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.0,120.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,70.07664198242752,121.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.0,122.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.0,123.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.0,124.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.0,125.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,473.87455693923357,126.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.0,127.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.0,128.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.0,129.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.0,130.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.0,131.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.0,132.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.0,133.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0.0,134.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.0,135.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.0,136.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.0,137.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.0,138.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.0,139.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.0,140.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.0,141.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.0,142.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.0,143.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.0,144.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.0,145.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.0,146.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.0,147.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.0,148.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.0,149.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.0,150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.0,151.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.0,152.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.0,153.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.0,154.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.0,155.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.0,156.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.0,157.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.0,158.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,0.0,159.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.0,160.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.0,161.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.0,162.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.0,163.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.0,164.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.0,165.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.0,166.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.0,167.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.0,168.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.0,169.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.0,170.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.0,171.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.0,172.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.0,173.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.0,174.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.0,175.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.0,176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.0,177.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,0.0,178.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,0.0,179.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,0.0,180.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,0.0,181.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,0.0,182.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,0.0,183.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,0.0,184.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,0.0,185.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,0.0,186.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,0.0,187.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,0.0,188.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,0.0,189.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,0.0,190.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,0.0,191.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,0.0,192.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,0.0,193.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,0.0,194.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,0.0,195.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,0.0,196.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,0.0,197.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,0.0,198.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,0.0,199.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,0.0,200.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
