system:index,area,value,.geo
0,105.71436029393658,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,560.956541136946,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,616.5436339286065,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,122.23081497138432,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1070.078629050718,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,180.39467901770288,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
